"","Site","Group.1","Rack","pot","GH_family_ID","field_family_ID","region","climate","climate_management","management.type","indiv","treatment","experiment","Group.1","precipCV","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","E_cicutarium","E_brachycarpum","E__malacoides","E_botrys","E_moschatum","other_Erodium","Erodium_total","grass_","forb","shrub","total_cover","F_leaf_weight","F_leaf_area","F_lflength","field_SLA","F_avg_fruit_length","Site.1","F_length_longest_stem","F_flowers","F_fruits","F_reproductive_effort","soil_wet_weight","soil_dry_weight","water_content","OM","ENR","P1","HCO3_P","PH","K","MG","CA","NA.","BUFFER_PH","H","CEC","K_PCT","MG_PCT","CA_PCT","H_PCT","NA_PCT","S","GH_plant_to_emerge","GH_emerge_to_flower","gen2_earlylfno","gen2_boltdate","days_to_bolt","gen2_ffdate","days_to_flower","gen2_no_internodes","gen2_length_longest_stem","gen2_no_seeds_missed","gen2_no_fruits","gen2_no_flowers","gen2_no_seeds","gen2_total_seeds","photo.session","tech","Total.Area..mm2.","raw.weight","correction","tray.weight","leaf_weight","SLA","PPTCV","OM_CV","P1_CV","CEC_CV","total_cover_CV","grass__CV","E_cicutarium_CV","OM_mean","P1_mean","CEC_mean","total_cover_mean","grass__mean","E_cicutarium_mean","had_pptmean","had_pptcv"
"1","Alcohuaz","Alcohuaz",26,487,865,"Al10","Chile","inland","inland agricultural field","agricultural field","b","high_nut","nutrients","Alcohuaz",NA,9.9,13.2,6,324,21.2,-0.8,22,5.8,13.8,14.1,5.8,76,26,0,120,57,1,1,57,0.166447368421053,0,0,0,0,0,0.166447368421053,0.00526315789473684,0.0559210526315789,0,0.227631578947368,0.00935026315789474,122.106605263158,35.8846578947368,12998.9819673684,2.59688596488158,NA,5.75394736842105,1.60526315789474,5.28947368421053,6.89473684210526,294.014705882353,283.808823529412,3.03333333333333,2.22888888888889,73.9422222222222,39.3333333333333,17.28,7.85777777777778,145.022222222222,140.493333333333,1536.64444444444,21.7822222222222,NA,0,9.28444444444444,5.36888888888889,11.8666666666667,81.5244444444444,0,1.25777777777778,7.23111111111111,3.625,55.8552631578947,8.49315068493151,39407.8888888889,81.8888888888889,39413.5616438356,87.5616438356164,6.19117647058824,7.84117647058823,23.5526315789474,20.6973684210526,2.32894736842105,56.6,79.4078947368421,NA,NA,291.681365671642,0.0461439130434783,0.018451,NA,0.0152607753623188,20.209781619403,0.916,0.142064714946071,30.724345146379,3.31727664389225,0.106134874759152,0.0453333333333333,0.191607378129117,100.3,1770,417.8,17.3,0.4,12.65,155.875862068966,50.9125229112358
"2","Calcareous","Calcareous",14,1071,840,"Calc1","California","coastal","coastal agricultural field","agricultural field","b","high_nut","nutrients","Calcareous",0.39746364,13.7,17.6,5.7,452.5,31,0.2,30.8,9.1,19.5,19.7,8.3,477,97,1,92,266,3,10,263,0.205333333333333,0,0,0,0,0,0.205333333333333,0.0633333333333333,0,0,0.268666666666667,0.00305933333333333,52.2106666666667,15.616,19182.7704774667,3.54044444448,NA,3.49066666666667,3.22666666666667,2.57333333333333,5.8,191.7256,158.066133333333,33.6594666666667,3.73461538461538,104.492307692308,33.7730769230769,14.5423076923077,7.80576923076923,143.684615384615,106.078846153846,8059.23076923077,35.1038461538462,NA,0,41.6115384615385,0.876923076923077,2.10384615384615,96.6365384615385,0,0.369230769230769,7.01153846153846,3.05333333333333,68.5666666666667,8.64,39424.3866666667,98.3866666666667,39431.4666666667,105.466666666667,3.93333333333333,3.21643835616438,17.6,12.8,1.32,31.8133333333333,49.4133333333333,NA,NA,303.240621621622,0.0698759459459459,0.0245295,0.4220725,0.0181004527027027,17.8313031231507,0.39746364,0.502651400415985,32.6889933925968,0.629554396858105,0.0942525652203072,0.036628733997155,0.0824543699543699,194.2,1756.2,2163.8,20.15,4.75,15.4,672.606896551724,41.4307897727927
"3","Carrizal Bajo","Carrizal Bajo",47,1358,723,"CB1","Chile","coastal","coastal preserve","preserve","b","high_nut","nutrients","Carrizal Bajo",NA,17.6,9.7,5.5,274.8,26.7,9.3,17.4,14.6,21.1,21.1,14.1,38,12,0,108,30,0,0,27,0.145454545454545,0,0,0,0,0,0.145454545454545,0.0272727272727273,0.0454545454545455,0,0.218181818181818,0.00872393939393939,158.195151515152,32.8182575757576,18640.3149618182,3.18727272727273,NA,3.29545454545455,4.24242424242424,6.37878787878788,10.6212121212121,331.030303030303,326.742424242424,4.28787878787879,0.476190476190476,39.5095238095238,21.4571428571429,13.297619047619,8.23095238095238,82.7357142857143,119.883333333333,730.561904761905,70.402380952381,NA,0,5.15,4.19761904761905,19.8214285714286,69.7095238095238,0,6.2452380952381,20.7595238095238,3.41666666666667,50.2348484848485,8.98412698412698,39392.953125,66.953125,39398.984375,72.984375,7.59016393442623,9.19333333333333,32.5606060606061,29.8181818181818,3.09090909090909,97.3181818181818,129.878787878788,NA,NA,278.729087719298,0.048665,0.008897,NA,0.0119247155172414,25.0844338819643,1.538,0.151414634146341,3.04850768081582,1.86732180914042,0.348205128205128,0.0738461538461539,0.529230769230769,20,901.2,216.3,14.4,1.8,9.6,60.6344827586207,63.1193669970667
"4","Cerro Grande","Cerro Grande",36,823,846,"CG11","Chile","coastal","coastal roadside","roadside","b","high_nut","nutrients","Cerro Grande",NA,14.5,8.8,5.4,244.4,22.8,6.7,16.1,11.5,17.6,17.7,11.5,88,26,0,112,64,0,0,64,0.139473684210526,0,0,0,0,0,0.139473684210526,0.182236842105263,0.158552631578947,0,0.480263157894737,0.00695526315789474,165.630842105263,44.0493043478261,23345.2049825,3.38543859652632,NA,5.53328947368421,6.71052631578947,7.75,14.4605263157895,265.578947368421,265.235294117647,10.0588235294118,0.925,48.3615384615385,22.2423076923077,20.6576923076923,8.11346153846154,172.888461538462,593.998076923077,1708.72307692308,456.057692307692,NA,0,15.8442307692308,2.90384615384615,31.4019230769231,53.6557692307692,0,12.0269230769231,8.91153846153846,3.05263157894737,67.6973684210526,8.65333333333333,39417.4473684211,91.4473684210526,39424.0789473684,98.0789473684211,5.12328767123288,4.7625,22.9868421052632,18.5526315789474,1.35526315789474,47.6052631578947,70.5921052631579,NA,NA,353.28538028169,0.0449623684210526,0.0159364,0.43106,0.0168596157894737,20.1043157654286,0.686,0.263222045574987,5.07928580389444,2.05249233083208,0.0899616438356164,0.108541516245487,0.225761006289308,48.1,1156.6,823.9,36.5,13.85,10.6,75.5827586206897,69.2371599131622
"5","Fray Jorge","Fray Jorge",10,207,794,"FJ10","Chile","coastal","coastal preserve","preserve","a","high_nut","nutrients","Fray Jorge",NA,13.6,9.4,5.6,257,22.4,5.7,16.7,10.4,16.8,17,10.4,150,50,0,123,109,0,0,109,0.241176470588235,0,0,0,0.0176470588235294,0.0176470588235294,0.258823529411765,0.197794117647059,0.286029411764706,0.086764705882353,0.829411764705882,0.00919396825396825,159.578428571429,NA,18496.7190374603,3.44030054644262,NA,11.1573770491803,6.39344262295082,14.5245901639344,20.9180327868852,305.411764705882,299.294117647059,6.11764705882353,4.36428571428571,117.260714285714,43.6178571428571,15.3857142857143,6.26428571428571,441.108928571429,284.616071428571,1405.28928571429,30.9964285714286,6.82678571428571,1.31964285714286,11.9321428571429,9.21428571428571,19.4303571428571,58.9071428571429,11.2410714285714,1.23214285714286,8.60714285714286,3.4672131147541,69.6311475409836,8.94029850746269,39421.0615384615,95.0615384615385,39426.7230769231,100.723076923077,4.609375,4.259375,18.6323529411765,13.1176470588235,1.26470588235294,29.0735294117647,47.7058823529412,NA,NA,260.829338709677,0.07376734375,0.018216,0.43307,0.0137272125,18.9127324624032,0.749,1.15952983187026,17.5979142940086,1.53199967347827,0.0331322112840055,0.12203018365422,0.0993083363669457,244.4,2442.6,668.2,56.4,13.45,16.4,177.679310344828,57.9518456114512
"6","Illapel","Illapel",10,872,1072,"Il1","Chile","inland","inland rangeland","rangeland","b","high_nut","nutrients","Illapel",NA,16.6,10.7,5.5,315.3,26.8,7.4,19.4,13,20.4,20.7,12.6,184,43,0,98,115,1,1,114,0.0906666666666667,0,0,0,0,0,0.0906666666666667,0.024,0.00466666666666667,0,0.119333333333333,0.0025552,41.1069333333333,17.0754925373134,17672.6021357067,2.41990049747761,NA,2.50133333333333,1.78666666666667,1.57333333333333,3.36,514.933333333333,NA,NA,1.79701492537313,65.7373134328358,23.7835820895522,18.244776119403,7.58805970149254,175.819402985075,241.971641791045,2128.9552238806,19.8,NA,0,13.1522388059701,3.44776119402985,14.1014925373134,81.8373134328358,0,0.623880597014925,4.43582089552239,3.14666666666667,63.0882352941176,9.12,39415.3866666667,89.3866666666667,39421.76,95.76,5.26086956521739,4.47101449275362,32.9733333333333,19.7866666666667,1.29333333333333,50.2533333333333,83.2266666666667,NA,NA,275.201298611111,0.0490391666666667,0.0147176666666667,0.425165,0.0135803527777778,20.5651555432083,0.594,0.147208798952985,2.4641214783543,1.11135263208572,0.0707156877547939,0.0460585585585586,0.0810015898251192,120.4,1593.5,881.2,8.95,1.8,6.8,250.944827586207,56.5456868002222
"7","Kearney","Kearney",37,780,945,"Kny1","California","inland","inland agricultural field","agricultural field","b","high_nut","nutrients","Kearney",0.349829711,17,15.2,4.4,682.5,36.4,2.3,34.1,10,25.6,25.6,8.2,305,60,0,83,163,3,3,155,0.0945945945945946,0,0,0,0.0972972972972973,0.0972972972972973,0.191891891891892,0.0587837837837838,0.133108108108108,0,0.383783783783784,0.00916567567567567,183.421621621622,33.8067567567568,19380.6476908108,3.5923423422973,NA,8.11621621621622,18.0405405405405,20.4864864864865,38.527027027027,300.696756756757,298.760810810811,1.93594594594595,0.498076923076923,40.3923076923077,49.3076923076923,35.0923076923077,7.23846153846154,153.690384615385,52.3846153846154,426.946153846154,26.4769230769231,NA,0.0153846153846154,3.09230769230769,13.2384615384615,14.3730769230769,68.275,0.230769230769231,3.91346153846154,5.72307692307692,3.62837837837838,62.9662162162162,9.27397260273973,39419.301369863,93.3013698630137,39425.1095890411,99.1095890410959,4.56338028169014,4.57,20.3648648648649,15.2432432432432,1.59459459459459,36.7837837837838,57.1486486486486,NA,NA,272.072492647059,0.0383601470588235,0.01271475,0.42665,0.0132835014705882,20.8746302761324,0.349829711,0.0846316905140435,11.7746162552384,0.20478977660716,0.276109396102643,0.0330420406235239,0.243698630136986,25.9,2564,160.8,28.4,4.35,7,265.775862068966,37.4286647222328
"8","Las Campanas","Las Campanas",26,1009,960,"Camp10","Chile","inland","inland roadside","roadside","b","high_nut","nutrients","Las Campanas",NA,13.2,14.3,6.1,338.1,26.3,3,23.3,8.8,17.2,17.5,8.8,391,105,0,111,268,3,3,268,0.112837837837838,0,0,0,0,0,0.112837837837838,0,0.0878378378378378,0,0.200675675675676,0.00389121212121212,45.2065,NA,12684.8158010909,2.87466216214865,NA,4.67702702702703,6.36486486486486,8.55405405405405,14.9189189189189,256.175675675676,240.027027027027,16.1486486486486,2.90454545454545,87.9090909090909,5.09848484848485,5.50757575757576,6.69242424242424,125.545454545455,241.043939393939,872.593939393939,32.819696969697,6.93333333333333,0.445454545454545,7.23636363636364,5.18939393939394,25.4530303030303,61.6090909090909,5.78787878787879,1.97121212121212,5.11363636363636,3.41216216216216,79.5671641791045,8.86301369863014,39423.8630136986,97.8630136986301,39430.0138888889,104.013888888889,3.68055555555556,2.75735294117647,14.9459459459459,10.8243243243243,1.01351351351351,22.6486486486486,37.5945945945946,NA,NA,295.514369565217,0.056281,0.0164321111111111,0.4228475,0.0139389728571429,21.5667420416232,0.524,0.124307210786084,4.9520288032918,1.41795129493622,0.0182579216825792,NA,0.0558813879091133,191.7,336.5,477.6,14.85,0,8.35,357.837931034483,51.2513401111388
"9","Lindcove","Lindcove",57,1274,384,"Lind1","California","inland","inland preserve","preserve","a","high_nut","nutrients","Lindcove",0.34612962,17.3,15.8,4.6,652.7,36.5,2.5,34,10.7,25.6,25.6,9.1,358,68,0,82,188,4,4,178,0.0965277777777778,0.0465277777777778,0,0,0,0.0465277777777778,0.143055555555556,0.110416666666667,0.205555555555556,0,0.459027777777778,0.00348712121212121,94.330303030303,26.3712121212121,31009.9648416667,3.66481481484722,NA,5.58611111111111,0.861111111111111,1.84722222222222,2.70833333333333,225.097222222222,218.955972222222,6.18680555555556,2.03846153846154,70.4769230769231,12.2707692307692,8.56307692307692,6.54769230769231,105.470769230769,418.412307692308,2409.92307692308,22.5707692307692,6.88823529411765,0.918461538461538,16.7630769230769,2.34307692307692,19.1723076923077,70.92,6.83076923076923,0.690769230769231,4.77538461538462,3.27692307692308,65.7538461538462,8.28358208955224,39419.1470588235,93.1470588235294,39427.3088235294,101.308823529412,4.42647058823529,4.53939393939394,15.0416666666667,12.3194444444444,1.25,32.3333333333333,47.375,NA,NA,360.462384615385,0.0397575362318841,0.021332,0.42619,0.0212276144927536,18.0526439935385,0.34612962,0.377228773584906,1.55834574034604,4.56428305111968,0.0756845155654045,0.308650013287271,0.110401256459621,132.5,797.6,1089.6,33.05,7.95,6.95,275.706896551724,37.2688081697334
"10","Mantagua","Mantagua",50,739,581,"Mt1","Chile","coastal","coastal roadside","roadside","b","high_nut","nutrients","Mantagua",NA,14.2,11,6.2,234.3,23.8,6.2,17.6,11.2,16.9,17.3,11.2,362,98,0,110,244,3,3,244,0.152941176470588,0,0,0,0.0360294117647059,0.0360294117647059,0.188970588235294,0.0308823529411765,0.147058823529412,0,0.366911764705882,0.0029825,53.7241764705882,NA,18814.8098238235,2.7531862745,NA,3.32794117647059,1.57352941176471,2.60294117647059,4.17647058823529,219.073529411765,202.882352941176,16.1911764705882,4.77872340425532,125.553191489362,9.62340425531915,5.11702127659574,7.06170212765957,199.329787234043,109.508510638298,641.8,43.7297872340426,6.93333333333333,0.268085106382979,5.07872340425532,9.57021276595745,17.4851063829787,64.2702127659575,4.91489361702128,3.80212765957447,6.64468085106383,3.39705882352941,86.8333333333333,8.11940298507463,39432.46875,106.46875,39438.2580645161,112.258064516129,2.98412698412698,1.98245614035088,14.6176470588235,8.55882352941176,0.470588235294118,16.9117647058824,31.5294117647059,NA,NA,273.73676984127,0.10978140625,0.0170029375,0.426798,0.0162467859375,18.1901410072742,0.547,0.853414766347903,5.88136865681685,0.814389537531192,0.087175844225765,0.0918976545842217,0.0575200918484501,224.6,452.3,238.7,24.95,2.1,10.4,357.837931034483,51.2513401111388
"11","McL seep","McL seep",36,114,1134,"McL S10","California","inland","inland preserve","preserve","a","high_nut","nutrients","McL seep",0.403273913,14.1,15.6,4.7,603,33.5,0.8,32.7,6.9,22,22,6.9,803,172,1,90,441,10,10,441,0.42012987012987,0,0,0,0,0,0.42012987012987,0.0525974025974026,0.0655844155844156,0,0.538311688311688,0.00558714285714286,102.011688311688,23.3857142857143,21781.8621193506,3.33809523812987,NA,4.8025974025974,5.05194805194805,2.66233766233766,7.71428571428571,174.679565217391,159.94768115942,14.731884057971,3.75090909090909,105.025454545455,16.28,13.18,7.79636363636364,265.121818181818,487.418181818182,5137.8,27.8327272727273,NA,0,30.4272727272727,2.16545454545455,13.1490909090909,84.3,0,0.385454545454545,6.44181818181818,3.04545454545455,65.512987012987,8.41333333333333,39423.2297297297,97.2297297297297,39430.2027027027,104.202702702703,4.48571428571429,4.23142857142857,16.0649350649351,11.8701298701299,1.36363636363636,25.4415584415584,41.5064935064935,NA,NA,300.371436619718,0.0885442465753425,0.0160439166666667,0.433803333333333,0.0181730726027397,17.5721530835493,0.403273913,0.538424803863485,1.50728910728911,0.898431984419436,0.25443781347216,0.0649122807017544,0.293339705523469,206.3,895.4,1673.5,41.45,4.05,32.35,880.296551724138,35.4227522307158
"12","Motte","Motte",47,1129,332,"Motte1","California","inland","inland preserve","preserve","a","high_nut","nutrients","Motte",0.504316288,16.7,15.4,5,526.3,33.6,3.3,30.3,11.1,23.4,24,10.5,391,80,2,85,215,10,19,205,0.359868421052632,0,0,0,0,0,0.359868421052632,0.122368421052632,0.134868421052632,0,0.617105263157895,0.00224657894736842,45.3684210526316,18.7565789473684,20209.5210576316,2.93157894736842,NA,3.00657894736842,0.907894736842105,1,1.90789473684211,238.764210526316,237.064605263158,1.69960526315789,1.87,66.9033333333333,78.6066666666667,39.97,6.785,278.385,75.9216666666667,1104.17,17.9083333333333,6.9,0.233333333333333,7.185,10.335,8.68166666666667,76.1033333333333,3.6,1.30166666666667,3.47833333333333,3.05263157894737,55.7302631578947,9.82666666666667,39402.1466666667,76.1466666666667,39407.8552631579,81.8552631578947,6.6986301369863,7.91780821917808,26.3026315789474,22.4078947368421,2.17105263157895,72.0657894736842,98.3684210526316,NA,NA,242.201645833333,0.0415253424657534,0.010807,NA,0.0123344315068493,21.0161196395278,0.504316288,0.00803045409226865,8.31072334687905,0.546846655579538,0.051590618336887,0.256272401433692,0.0572468007312614,112.2,4716.4,431.1,46.9,9.3,27.35,397.668965517241,46.5694896821173
"13","NeoHaus","NeoHaus",37,1095,22,"NH1","Chile","coastal","coastal agricultural field","agricultural field","b","high_nut","nutrients","NeoHaus",NA,15.2,7.8,5.4,217.6,22.5,8.3,14.2,12.5,18,18,12.5,79,19,0,101,53,1,1,53,0,0,0,0,0,0,0,1,0,0,1,0.00922135135135135,176.417986486486,NA,21232.5891891892,3.97398648645946,NA,13.0530303030303,5.6969696969697,8.78787878787879,14.4848484848485,188.827586206897,163.034482758621,25.7931034482759,0.577586206896552,41.4137931034483,20.9224137931034,17.9620689655172,7.9551724137931,120.355172413793,175.170689655172,1421.79310344828,85.1155172413793,NA,0,9.21034482758621,3.34310344827586,15.7344827586207,76.8379310344828,0,4.04827586206896,31.4293103448276,3.68918918918919,61.9324324324324,8.35211267605634,39414.2638888889,88.2638888888889,39420.2222222222,94.2222222222222,5.18787878787879,4.80769230769231,19.1756756756757,17.972972972973,1.39189189189189,44.2162162162162,63.3918918918919,NA,NA,278.699362318841,0.0512548571428571,0.0188492857142857,NA,0.01482805,19.509389286942,0.724,0.216292223095051,7.69607023326755,0.0938947893882967,0,0,NA,33.5,1213.5,534.2,74,74,0,75.5827586206897,69.2371599131622
"14","Riverwood","Riverwood",50,1518,105,"RIVB 1","California","inland","inland preserve","preserve","a","high_nut","nutrients","Riverwood",0.295528539,16.2,13.4,4.3,601.8,34.1,3.6,30.5,8.6,23.7,23.8,8.6,475,110,1,88,257,7,8,257,0.0213333333333333,0.00466666666666667,0,0.0273333333333333,0,0.032,0.0533333333333333,0.032,0.04,0,0.125333333333333,0.0147574666666667,211.342666666667,42.1613333333333,14263.1339581333,3.45333333333333,NA,4.43466666666667,11.9333333333333,4.70666666666667,16.64,322.487333333333,302.691733333333,19.7956,1.15,53.0115384615385,10.5826923076923,28.1230769230769,6.50576923076923,18.9346153846154,87.2903846153846,578.148076923077,14.4923076923077,6.95357142857143,0.413461538461538,4.12307692307692,1.22884615384615,17.6326923076923,71.1942307692308,8.39423076923077,1.56538461538462,2.71923076923077,2.84,66.7835820895522,8.77333333333333,39420.04,94.04,39427.2933333333,101.293333333333,4.30882352941176,3.17424242424242,17.0666666666667,12.32,1.13333333333333,29.12,46.1866666666667,NA,NA,324.378630136986,0.0652368493150685,0.0180385,0.42416,0.0185869342465753,18.5524727551528,0.295528539,0.134867860187553,0.599636918187228,0.236889083991806,0.217459746981024,0.0689189189189189,0.181081081081081,59.8,550.3,214.4,9.4,2.4,1.6,580.596551724138,34.2135825241182
"15","Sand Ridge grassland","Sand Ridge grassland",26,1330,971,"SR G10","California","inland","inland preserve","preserve","b","high_nut","nutrients","Sand Ridge grassland",0.381302058,19,15.3,4.4,694.8,37.9,3.2,34.7,11.9,27.9,27.9,10.3,214,40,0,79,111,4,4,98,0.466438356164384,0,0,0.0164383561643836,0,0.0164383561643836,0.482876712328767,0.230821917808219,0,0,0.713698630136986,0.00700280701754386,170.718461538462,36.0153846153846,28997.2935940351,3.87374429227397,NA,10.7356164383562,3.78082191780822,3.73972602739726,7.52054794520548,381.17095890411,380.136712328767,1.11397260273973,1.1948275862069,53.8379310344828,19.0724137931034,17.3379310344828,6.83793103448276,77.3086206896552,93.4810344827586,744.881034482759,13.5379310344828,NA,0.151724137931034,4.88965517241379,4.01551724137931,15.7206896551724,76.0775862068966,2.97413793103448,1.21034482758621,5.03793103448276,3.36301369863014,43.8219178082192,7.75714285714286,39385.1285714286,59.1285714285714,39389.9857142857,63.9857142857143,8.59090909090909,19.9848484848485,17.3150684931507,22.3424657534247,1.43835616438356,75.7534246575343,93.0684931506849,NA,NA,386.433615384615,0.0540426865671642,0.0108997142857143,NA,0.0158109880597015,27.0591079491692,0.381302058,0.038300296195033,1.51766534397828,0.113787642590256,0.0609365003198976,0.112409330695681,0.12551598955784,69.3,1106.2,283.6,52.1,16.85,34.05,287.913793103448,41.4242949725972
"16","Santiago","Santiago",47,824,410,"SCA10","Chile","inland","inland roadside","roadside","b","high_nut","nutrients","Santiago",NA,13.6,15.7,5.7,419.5,28.9,1.7,27.2,8.9,18.3,19,8.2,509,117,1,96,314,7,7,300,0.196710526315789,0,0,0,0.0105263157894737,0.0105263157894737,0.207236842105263,0.359210526315789,0.142105263157895,0,0.708552631578947,0.0166925,262.788434210526,NA,17612.3229389706,3.06043859652632,NA,15.6815789473684,25.1578947368421,46.8289473684211,71.9868421052632,184.039473684211,163.618421052632,20.4210526315789,3.98301886792453,109.645283018868,55.5849056603774,18.9830188679245,7.2188679245283,95.9698113207547,55.7603773584906,1450.78490566038,21.7849056603774,NA,0,8.03018867924528,2.68490566037736,5.76603773584906,90.5377358490566,0,1.01132075471698,5.43396226415094,3.26315789473684,73.2,8.9078947368421,39422.9733333333,96.9733333333333,39430.0405405405,104.040540540541,4.67567567567568,3.94166666666667,14.2763157894737,11.7894736842105,1.93421052631579,26.5,40.7763157894737,NA,NA,321.761791666667,0.0641856164383562,0.017863125,0.427276666666667,0.0174353904109589,19.9525614107222,0.419,0.199475276026673,3.62051386495378,1.24269447657606,0.0728610337356855,0.0855042735042735,0.0817904124860647,211.1,2946,425.6,53.85,27.3,14.95,377.903448275862,49.5864612865434
"17","Sierra Foothills grazed","Sierra Foothills grazed",50,609,743,"SFG1","California","inland","inland rangeland","rangeland","b","high_nut","nutrients","Sierra Foothills grazed",0.300873796,15.4,13.9,4.2,641.4,34.1,1.7,32.4,7.5,23.7,23.7,7.5,971,196,1,84,500,14,14,500,0.0644736842105263,0.0381578947368421,0,0.193421052631579,0,0.231578947368421,0.296052631578947,0.171710526315789,0.269078947368421,0,0.736842105263158,0.00538723684210526,97.925,27.3276315789474,20160.5414789474,3.54166666673684,NA,5.36447368421053,3.61842105263158,2.94736842105263,6.56578947368421,173.221842105263,158.32,31.5671052631579,4.65789473684211,123.168421052632,3.01315789473684,14.6973684210526,6.31973684210526,133.634210526316,668.877631578947,2479.80263157895,19.6039473684211,6.71029411764706,2.06052631578947,20.3605263157895,1.72236842105263,27.2552631578947,60.2921052631579,10.3092105263158,0.410526315789474,5.01578947368421,3.42105263157895,79.9411764705882,8.93421052631579,39425.1066666667,99.1066666666667,39432.301369863,106.301369863014,3.8169014084507,3.34925373134328,14.4605263157895,10.3684210526316,0.631578947368421,22.4605263157895,36.9210526315789,NA,NA,330.503041666667,0.0733011267605634,0.0177431818181818,0.429925,0.0193856830985915,16.6560770539143,0.300873796,0.313232391713748,0.271904512372635,0.873547542113653,0.0383952380952381,0.128641123882503,0.0318639455782313,354,229,1547.4,56,13.05,4.9,1051.23448275862,31.5689393195142
"18","Sweeney corral","Sweeney corral",50,1372,275,"SGC1","California","inland","inland roadside","roadside","b","high_nut","nutrients","Sweeney corral",0.502734747,21.4,16,4,823.4,42.1,2.7,39.4,31.6,25.1,32.1,11.1,69,10,1,46,25,6,19,23,0.102676056338028,0,0,0,0,0,0.102676056338028,0,0.00422535211267606,0,0.106901408450704,0.000731538461538462,10.8478873239437,6.66056338028169,17583.9578958462,2.87183098591549,NA,2.2887323943662,0.323943661971831,1,1.32394366197183,344.39,337.385352112676,7.00464788732394,0.877464788732394,47.2788732394366,44.143661971831,28.6366197183099,6.90704225352113,235.429577464789,112.701408450704,916.992957746479,17.2676056338028,NA,0.135211267605634,6.32253521126761,9.19859154929578,14.4197183098592,72.4056338028169,2.61971830985915,1.36478873239437,4.70845070422535,3.11267605633803,73.7323943661972,9.11764705882353,39420.1617647059,94.1617647058823,39426.3582089552,100.358208955224,4.5,3.5765625,23.0704225352113,16.1408450704225,1.22535211267606,41.0845070422535,64.1549295774648,NA,NA,273.288712121212,0.0522265151515151,0.0164875,0.42284,0.0135329318181818,21.7094507363077,0.502734747,0.0251364365971108,2.50714349526423,0.57785125544983,0.0733544137022398,NA,0.0788598863413678,62.3,3134.2,448.9,7.59,0,7.29,186.086206896552,54.1916391775207
"19","Vallenar","Vallenar",37,476,390,"V?","Chile","inland","inland roadside","roadside","a","high_nut","nutrients","Vallenar",NA,15.7,12.9,6.3,261.8,26.5,6.1,20.4,12.5,19,19.2,12.5,54,12,0,97,33,0,0,33,0.0846153846153846,0,0,0,0,0,0.0846153846153846,0.0184615384615385,0.0107692307692308,0.0107692307692308,0.124615384615385,0.00798415384615385,118.263938461538,28.1026307692308,15646.6220689231,3.251,NA,5.95076923076923,3.33846153846154,5.27692307692308,8.61538461538461,265.538461538462,263.123076923077,2.41538461538462,1.21666666666667,54.4761904761905,47.4738095238095,36.7714285714286,7.74285714285714,225.635714285714,149.938095238095,1727.09523809524,42.8785714285714,NA,0,10.6071428571429,5.14761904761905,11.5857142857143,81.6404761904762,0,1.65714285714286,32.1738095238095,2.78461538461538,47.2384615384615,7.66666666666667,39388.6176470588,62.6176470588235,39395,69,7.67692307692308,17.1846153846154,19.7916666666667,23.2222222222222,1.43055555555556,79.7638888888889,99.5555555555556,NA,NA,372.41825,0.0616681818181818,0.00946728571428571,NA,0.0164664984848485,24.3341221003125,1.317,0.164350150350819,21.5388599863731,0.791293422025129,0.043335262345679,0.13359375,0.0654829545454545,51.1,1993.9,445.5,8.1,1.2,5.5,43.0896551724138,64.2976559196678
